TIME,MEM
22075, 186100281
22078, 186092554
22081, 186078436
22084, 186064629
22087, 185999695
22090, 185996797
22097, 185996045
22100, 185995549
22103, 185984045
22106, 185973715
22109, 185973007
22112, 181775862
22115, 181767275
22118, 181762560
22121, 181754486
22124, 181750873
22127, 180159703
22130, 180139864
22133, 180135015
22136, 180067612
22139, 180057405
22142, 180052223
22145, 180049554
22148, 180046753
22151, 180046262
22154, 180045115
22157, 180043702
22160, 180041911
22163, 180039634
22166, 180032389
22169, 180019780
22172, 179904599
22175, 179869361
22178, 179770851
22181, 179754232
22184, 179752432
22187, 179741274
22190, 179736471
22193, 179728935
22196, 179724091
22199, 179756907
22202, 179722823
22205, 179719080
22208, 179712350
22211, 179707122
22214, 179700872
22217, 179659512
22220, 179612000
22223, 179554044
22226, 179493825
22229, 179443369
22232, 179402301
22235, 179301387
22238, 179222483
22241, 179190589
22244, 179174727
22253, 179170062
22256, 179163078
