TIME,MEM
0, 0
657, 552
663, 4768
671, 0
676, 2036
682, 18724
686, 19068
691, 19422
696, 19730
704, 23602
712, 25872
720, 32580
728, 36420
736, 36508
741, 36844
746, 37013
749, 37145
755, 37171
761, 37318
766, 37329
773, 37694
777, 194798
781, 194881
785, 195612
789, 196115
793, 196434
800, 198562
809, 198578
814, 199276
821, 281278
825, 281790
830, 281790
834, 199771
838, 202481
842, 206628
846, 208238
853, 208227
857, 208175
861, 209382
865, 210019
869, 211490
873, 212965
877, 213669
881, 215773
888, 218672
892, 227422
896, 260551
903, 263263
907, 264460
912, 232516
917, 232580
921, 244069
925, 257616
929, 256031
933, 260223
937, 260510
941, 263654
945, 267210
949, 270914
953, 274696
957, 278492
961, 282007
965, 286205
970, 294300
979, 294300
986, 293839
991, 293887
997, 294499
1004, 296636
1016, 296677
1021, 298223
1028, 300174
1031, 302974
1036, 302928
1042, 308739
1049, 308756
1051, 308739
1057, 308571
1061, 308177
1065, 310465
1072, 313580
1076, 316627
1080, 319432
1084, 322105
1088, 325247
1092, 328560
1096, 331450
1100, 334547
1107, 341226
1113, 342201
1117, 342219
1121, 345372
1125, 346815
1129, 351525
1133, 355239
1137, 356740
1141, 358239
1145, 362647
1149, 365447
1153, 367833
1159, 370168
1164, 370178
1169, 372790
1173, 375662
1184, 375830
1191, 377426
1195, 377466
1200, 377683
1207, 377830
1211, 378151
1215, 468075
1219, 468532
1223, 468767
1227, 469328
1231, 471505
1235, 472243
1239, 554809
1243, 554809
1247, 473563
1251, 477969
1255, 478315
1260, 480582
1264, 522200
1271, 492759
1275, 497372
1280, 499037
1287, 502529
1291, 505656
1295, 506781
1299, 508032
1303, 509450
1307, 510923
1311, 512867
1318, 515165
1322, 516082
1326, 519678
1331, 523178
1338, 528017
1342, 534279
1346, 538498
1350, 543442
1354, 550193
1359, 554525
1364, 563388
1368, 560596
1372, 564659
1376, 567887
1380, 568311
1384, 570981
1388, 571020
1394, 571038
1398, 571574
1404, 572134
1408, 572006
1413, 571746
1419, 572402
1423, 572450
1427, 580834
1431, 581749
1436, 581640
1440, 582778
1444, 582850
1448, 581736
1452, 582320
1459, 582790
1463, 634938
1467, 634966
1471, 639046
1475, 642602
1481, 651621
1488, 645263
1492, 650529
1496, 654479
1502, 661678
1506, 662054
1510, 666699
1514, 671120
1518, 675112
1523, 678357
1528, 681383
1533, 683939
